id,day,is_main,procedure_title,class,vals,vote_cons_id,label
108532,2019-07-18T11:30:30Z,1,Resolution on the situation in Venezuela,yes,455,1,108532_2019-07-18 11:30:30
108532,2019-07-18T11:30:30Z,1,Resolution on the situation in Venezuela,no,85,1,108532_2019-07-18 11:30:30
108532,2019-07-18T11:30:30Z,1,Resolution on the situation in Venezuela,abstention,105,1,108532_2019-07-18 11:30:30
108532,2019-07-18T11:30:30Z,1,Resolution on the situation in Venezuela,no_vote,-106,1,108532_2019-07-18 11:30:30
108568,2019-09-18T12:05:54Z,1,Amending budget 2/2019: Horizon 2020 and Erasmus+,yes,614,2,108568_2019-09-18 12:05:54
108568,2019-09-18T12:05:54Z,1,Amending budget 2/2019: Horizon 2020 and Erasmus+,no,69,2,108568_2019-09-18 12:05:54
108568,2019-09-18T12:05:54Z,1,Amending budget 2/2019: Horizon 2020 and Erasmus+,abstention,10,2,108568_2019-09-18 12:05:54
108568,2019-09-18T12:05:54Z,1,Amending budget 2/2019: Horizon 2020 and Erasmus+,no_vote,-58,2,108568_2019-09-18 12:05:54
108660,2019-09-18T12:09:24Z,1,Resolution on the state of play of the UK’s withdrawal from the European Union,yes,544,3,108660_2019-09-18 12:09:24
108660,2019-09-18T12:09:24Z,1,Resolution on the state of play of the UK’s withdrawal from the European Union,no,126,3,108660_2019-09-18 12:09:24
108660,2019-09-18T12:09:24Z,1,Resolution on the state of play of the UK’s withdrawal from the European Union,abstention,38,3,108660_2019-09-18 12:09:24
108660,2019-09-18T12:09:24Z,1,Resolution on the state of play of the UK’s withdrawal from the European Union,no_vote,-43,3,108660_2019-09-18 12:09:24
108749,2019-09-19T12:19:48Z,1,Resolution on the state of implementation of the Union’s anti-money laundering legislation,yes,530,4,108749_2019-09-19 12:19:48
108749,2019-09-19T12:19:48Z,1,Resolution on the state of implementation of the Union’s anti-money laundering legislation,no,14,4,108749_2019-09-19 12:19:48
108749,2019-09-19T12:19:48Z,1,Resolution on the state of implementation of the Union’s anti-money laundering legislation,abstention,104,4,108749_2019-09-19 12:19:48
108749,2019-09-19T12:19:48Z,1,Resolution on the state of implementation of the Union’s anti-money laundering legislation,no_vote,-103,4,108749_2019-09-19 12:19:48
108763,2019-09-19T12:07:11Z,1,"Resolution on Iran, notably the situation of women’s rights defenders and imprisoned EU dual nationals",yes,608,5,108763_2019-09-19 12:07:11
108763,2019-09-19T12:07:11Z,1,"Resolution on Iran, notably the situation of women’s rights defenders and imprisoned EU dual nationals",no,7,5,108763_2019-09-19 12:07:11
108763,2019-09-19T12:07:11Z,1,"Resolution on Iran, notably the situation of women’s rights defenders and imprisoned EU dual nationals",abstention,46,5,108763_2019-09-19 12:07:11
108763,2019-09-19T12:07:11Z,1,"Resolution on Iran, notably the situation of women’s rights defenders and imprisoned EU dual nationals",no_vote,-90,5,108763_2019-09-19 12:07:11
108774,2019-09-19T12:17:34Z,1,Resolution on the importance of European remembrance for the future of Europe,yes,535,6,108774_2019-09-19 12:17:34
108774,2019-09-19T12:17:34Z,1,Resolution on the importance of European remembrance for the future of Europe,no,66,6,108774_2019-09-19 12:17:34
108774,2019-09-19T12:17:34Z,1,Resolution on the importance of European remembrance for the future of Europe,abstention,52,6,108774_2019-09-19 12:17:34
108774,2019-09-19T12:17:34Z,1,Resolution on the importance of European remembrance for the future of Europe,no_vote,-98,6,108774_2019-09-19 12:17:34
108806,2019-10-10T11:39:25Z,1,Amending budget 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),yes,538,7,108806_2019-10-10 11:39:25
108806,2019-10-10T11:39:25Z,1,Amending budget 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),no,113,7,108806_2019-10-10 11:39:25
108806,2019-10-10T11:39:25Z,1,Amending budget 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),abstention,9,7,108806_2019-10-10 11:39:25
108806,2019-10-10T11:39:25Z,1,Amending budget 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),no_vote,-91,7,108806_2019-10-10 11:39:25
108807,2019-10-10T11:40:45Z,1,"Flexibility Instrument: adjustments to the amounts mobilised for 2019 to be used for migration, refugee inflows and security threats",yes,53,8,108807_2019-10-10 11:40:45
108807,2019-10-10T11:40:45Z,1,"Flexibility Instrument: adjustments to the amounts mobilised for 2019 to be used for migration, refugee inflows and security threats",no,526,8,108807_2019-10-10 11:40:45
108807,2019-10-10T11:40:45Z,1,"Flexibility Instrument: adjustments to the amounts mobilised for 2019 to be used for migration, refugee inflows and security threats",abstention,82,8,108807_2019-10-10 11:40:45
108807,2019-10-10T11:40:45Z,1,"Flexibility Instrument: adjustments to the amounts mobilised for 2019 to be used for migration, refugee inflows and security threats",no_vote,-90,8,108807_2019-10-10 11:40:45
108830,2019-10-10T11:48:36Z,1,Resolution on foreign electoral interference and disinformation in national and European democratic processes,yes,469,9,108830_2019-10-10 11:48:36
108830,2019-10-10T11:48:36Z,1,Resolution on foreign electoral interference and disinformation in national and European democratic processes,no,143,9,108830_2019-10-10 11:48:36
108830,2019-10-10T11:48:36Z,1,Resolution on foreign electoral interference and disinformation in national and European democratic processes,abstention,47,9,108830_2019-10-10 11:48:36
108830,2019-10-10T11:48:36Z,1,Resolution on foreign electoral interference and disinformation in national and European democratic processes,no_vote,-92,9,108830_2019-10-10 11:48:36
108838,2019-10-10T11:54:15Z,1,Employment and social policies of the euro area,yes,422,10,108838_2019-10-10 11:54:15
108838,2019-10-10T11:54:15Z,1,Employment and social policies of the euro area,no,131,10,108838_2019-10-10 11:54:15
108838,2019-10-10T11:54:15Z,1,Employment and social policies of the euro area,abstention,101,10,108838_2019-10-10 11:54:15
108838,2019-10-10T11:54:15Z,1,Employment and social policies of the euro area,no_vote,-97,10,108838_2019-10-10 11:54:15
108840,2019-10-10T11:41:12Z,1,"Resolution on Commission Implementing Regulation (EU) 2019/707 of 7 May 2019 amending Implementing Regulation (EU) No 540/2011 as regards the extension of the approval periods of the active substances alpha-cypermethrin, beflubutamid, benalaxyl, benthiavalicarb, bifenazate, boscalid, bromoxynil, captan, cyazofamid, desmedipham, dimethoate, dimethomorph, diuron, ethephon, etoxazole, famoxadone, fenamiphos, flumioxazine, fluoxastrobin, folpet, foramsulfuron, formetanate, metalaxyl-m, methiocarb, metribuzin, milbemectin, Paecilomyces lilacinus strain 251, phenmedipham, phosmet, pirimiphos-methyl, propamocarb, prothioconazole, s-metolachlor and tebuconazole",yes,402,11,108840_2019-10-10 11:41:12
